,title,price,address,no_bedrooms
0,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
1,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
2,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
3,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
4,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
5,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
6,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
7,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
8,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
9,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
10,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
11,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
12,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
13,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
14,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
15,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
16,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
17,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
18,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
19,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
20,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
21,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
22,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
23,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
24,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
25,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
26,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
27,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
28,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
29,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
30,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
31,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
32,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
33,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
34,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
35,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
36,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
37,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
38,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
39,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
40,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
41,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
42,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
43,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
44,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
45,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
46,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
47,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
48,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
49,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
50,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
51,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
52,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
53,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
54,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
55,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
56,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
57,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
58,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
59,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
60,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
61,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
62,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
63,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
64,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
65,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
66,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
67,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
68,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
69,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
70,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
71,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
72,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
73,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
74,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
75,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
76,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
77,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
78,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
79,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
80,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
81,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
82,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
83,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
84,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
85,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
86,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
87,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
88,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
89,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
90,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
91,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
92,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
93,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
94,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
95,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
96,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
97,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
98,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
99,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
